AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
1520,0001,SANTANDER,CARLOS,SAQUE,2022-01-22T16:07:07,698.55
1520,0001,SANTANDER,BIA,DEPOSITO,2022-01-04T02:03:32,149.96
3320,0002,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-03T13:49:59,2806.66
9999,0007,SANTANDER,JULIA,DEPOSITO,2022-02-27T05:05:18,1391.68
1520,0002,SANTANDER,BRUNO,DEPOSITO,2022-01-27T23:29:13,778.24
1044,0001,SANTANDER,MARIA,DEPOSITO,2022-01-10T09:21:55,1795.54
1044,0004,SANTANDER,JOAO,TRANSFERENCIA,2022-02-14T14:32:15,2681.60
2220,0001,SANTANDER,RAFAEL,DEPOSITO,2022-02-05T02:40:14,2887.18
1520,0001,SANTANDER,JULIA,DEPOSITO,2022-01-08T17:55:43,4276.73
1520,0007,SANTANDER,CARLOS,DEPOSITO,2022-02-05T10:07:14,814.11
1044,0002,SANTANDER,CARLOS,TRANSFERENCIA,2022-01-07T22:22:47,3046.05
3320,0002,SANTANDER,FELIPE,DEPOSITO,2022-02-06T20:11:42,1350.47
9999,0002,SANTANDER,ANA,SAQUE,2022-01-23T05:43:14,4109.19
1044,0007,SANTANDER,CARLOS,SAQUE,2022-01-21T11:37:32,4565.77
9999,0004,SANTANDER,JULIA,TRANSFERENCIA,2022-02-18T11:17:35,1978.76
2220,0002,SANTANDER,CARLOS,SAQUE,2022-01-24T22:41:01,3725.20
9999,0004,SANTANDER,BIA,DEPOSITO,2022-02-26T15:43:48,1997.60
3320,0002,SANTANDER,RAFAEL,DEPOSITO,2022-01-09T19:50:03,3779.16
1520,0002,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-10T23:42:14,2982.45
2220,0007,SANTANDER,BIA,DEPOSITO,2022-02-21T08:55:32,1257.82
9999,0001,SANTANDER,MARIA,TRANSFERENCIA,2022-02-22T03:13:53,3754.64
1044,0001,SANTANDER,CARLOS,DEPOSITO,2022-01-16T08:32:03,2269.16
1044,0002,SANTANDER,RAFAEL,SAQUE,2022-01-29T23:25:36,4208.51
9999,0002,SANTANDER,FELIPE,DEPOSITO,2022-01-16T16:26:11,2697.36
9999,0001,SANTANDER,BIA,DEPOSITO,2022-02-17T10:32:01,98.36
1044,0004,SANTANDER,JULIA,SAQUE,2022-01-24T09:16:17,4390.17
1520,0001,SANTANDER,PAULA,SAQUE,2022-02-21T17:17:43,3829.41
3320,0007,SANTANDER,RAFAEL,SAQUE,2022-01-26T17:37:36,2638.84
9999,0007,SANTANDER,JULIA,TRANSFERENCIA,2022-01-20T12:42:57,3565.03
2220,0004,SANTANDER,PAULA,TRANSFERENCIA,2022-02-13T20:02:20,605.90
3320,0001,SANTANDER,ANA,SAQUE,2022-02-27T02:51:31,2770.05
9999,0002,SANTANDER,JOAO,SAQUE,2022-01-06T17:11:08,1145.48
1520,0004,SANTANDER,MARIA,TRANSFERENCIA,2022-01-24T02:35:27,1393.11
2220,0002,SANTANDER,RAFAEL,SAQUE,2022-02-25T10:37:36,2881.48
3320,0007,SANTANDER,BRUNO,SAQUE,2022-01-10T03:47:42,485.56
2220,0004,SANTANDER,BRUNO,DEPOSITO,2022-02-15T08:14:46,4319.32
1520,0001,SANTANDER,JOAO,DEPOSITO,2022-02-02T22:37:56,4003.16
1520,0002,SANTANDER,JULIA,SAQUE,2022-02-22T01:38:10,2243.62
2220,0002,SANTANDER,CARLOS,DEPOSITO,2022-01-25T06:05:28,4372.56
1520,0007,SANTANDER,RAFAEL,SAQUE,2022-01-05T21:52:45,3261.07
9999,0001,SANTANDER,MARIA,SAQUE,2022-01-17T03:31:58,2032.66
2220,0002,SANTANDER,BRUNO,SAQUE,2022-01-16T23:37:56,1895.49
2220,0004,SANTANDER,PAULA,DEPOSITO,2022-02-11T01:40:43,3483.26
9999,0007,SANTANDER,FELIPE,SAQUE,2022-01-29T19:22:45,1089.29
1520,0001,SANTANDER,ANA,SAQUE,2022-01-05T20:50:24,2921.30
9999,0002,SANTANDER,JOAO,TRANSFERENCIA,2022-01-08T18:40:23,4256.86
1520,0001,SANTANDER,JULIA,DEPOSITO,2022-01-12T15:21:21,4708.04
9999,0002,SANTANDER,BIA,TRANSFERENCIA,2022-01-04T20:36:17,3097.29
2220,0004,SANTANDER,CARLOS,SAQUE,2022-01-31T12:06:05,1194.19
2220,0002,SANTANDER,CARLOS,DEPOSITO,2022-01-31T16:44:46,4645.16
1520,0001,SANTANDER,PAULA,TRANSFERENCIA,2022-02-24T15:52:12,4980.49
1520,0002,SANTANDER,RAFAEL,DEPOSITO,2022-01-13T20:38:46,4666.36
1520,0002,SANTANDER,ANA,DEPOSITO,2022-01-16T07:34:36,2191.48
9999,0004,SANTANDER,BIA,TRANSFERENCIA,2022-02-21T08:31:16,40.11
9999,0004,SANTANDER,MARIA,SAQUE,2022-01-26T16:15:00,578.03
1520,0002,SANTANDER,CARLOS,DEPOSITO,2022-02-28T17:21:20,1053.94
1044,0002,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-17T10:21:42,1256.36
1520,0001,SANTANDER,BRUNO,DEPOSITO,2022-01-05T06:43:46,18.72
3320,0004,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-12T21:33:04,2758.85
2220,0001,SANTANDER,MARIA,SAQUE,2022-01-15T11:19:17,2728.41
1044,0002,SANTANDER,BRUNO,SAQUE,2022-01-05T01:28:05,1541.98
1520,0004,SANTANDER,JULIA,TRANSFERENCIA,2022-01-25T05:26:47,3335.00
1044,0007,SANTANDER,BIA,TRANSFERENCIA,2022-01-16T00:08:07,4628.89
3320,0002,SANTANDER,FELIPE,DEPOSITO,2022-01-03T09:45:23,897.62
1044,0007,SANTANDER,JULIA,DEPOSITO,2022-01-16T10:57:28,3937.09
1520,0007,SANTANDER,JOAO,DEPOSITO,2022-01-22T14:18:29,998.66
2220,0004,SANTANDER,CARLOS,SAQUE,2022-01-22T15:26:58,119.30
3320,0007,SANTANDER,ANA,DEPOSITO,2022-01-07T17:45:43,4834.48
1044,0004,SANTANDER,RAFAEL,DEPOSITO,2022-02-22T01:28:23,1656.42
1520,0001,SANTANDER,CARLOS,SAQUE,2022-02-26T08:52:19,4812.71
1044,0001,SANTANDER,MARIA,TRANSFERENCIA,2022-02-12T04:36:25,1729.09
1044,0007,SANTANDER,BIA,TRANSFERENCIA,2022-01-12T05:28:27,1926.59
9999,0002,SANTANDER,CARLOS,SAQUE,2022-02-12T08:05:15,9.45
9999,0002,SANTANDER,ANA,DEPOSITO,2022-01-07T19:03:02,4744.42
1044,0004,SANTANDER,MARIA,TRANSFERENCIA,2022-01-30T03:48:05,2536.11
2220,0004,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-29T16:55:35,2772.51
3320,0007,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-17T21:30:47,3077.96
1044,0007,SANTANDER,RAFAEL,SAQUE,2022-01-30T12:04:47,1435.28
2220,0004,SANTANDER,PAULA,DEPOSITO,2022-02-12T22:18:25,3378.46
9999,0007,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-09T05:35:16,1419.65
9999,0004,SANTANDER,MARIA,SAQUE,2022-01-31T03:19:47,1123.98
3320,0002,SANTANDER,JOAO,SAQUE,2022-01-24T18:31:28,4919.70
9999,0001,SANTANDER,PAULA,DEPOSITO,2022-02-25T21:24:37,972.98
2220,0007,SANTANDER,BRUNO,SAQUE,2022-01-15T07:51:58,3280.63
1520,0001,SANTANDER,BRUNO,SAQUE,2022-01-18T01:50:44,4020.75
9999,0007,SANTANDER,JOAO,TRANSFERENCIA,2022-01-25T04:40:26,4587.43
1520,0007,SANTANDER,FELIPE,DEPOSITO,2022-02-21T13:37:37,4939.47
9999,0004,SANTANDER,PAULA,TRANSFERENCIA,2022-02-19T00:13:06,2134.28
9999,0007,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-16T02:04:17,2250.90
3320,0004,SANTANDER,RAFAEL,DEPOSITO,2022-01-24T05:28:59,1373.71
1520,0004,SANTANDER,JULIA,DEPOSITO,2022-02-02T14:34:53,1599.23
9999,0001,SANTANDER,FELIPE,SAQUE,2022-01-23T10:52:41,1915.79
3320,0002,SANTANDER,MARIA,DEPOSITO,2022-02-09T13:46:31,1655.08
2220,0007,SANTANDER,JOAO,SAQUE,2022-02-10T19:00:19,1947.99
9999,0001,SANTANDER,BIA,DEPOSITO,2022-02-16T07:26:36,30.47
1044,0004,SANTANDER,BRUNO,DEPOSITO,2022-02-22T06:08:41,3737.83
9999,0002,SANTANDER,PAULA,SAQUE,2022-01-27T11:59:07,2179.74
